STATE_FDID,STATE,FDID,DEPT_NAME,DEPT_TYPE,TOTAL_INCIDENTS,FIRE_INCIDENTS,STRUCTURE_FIRES,EMS_INCIDENTS,RESPONSE_TIME_AVG,CONTAINMENT_RATE,PROP_LOSS_ADJ,PROP_LOSS_USD,TOTAL_FF,FF_PER_1000_INC,STATIONS,STA_PER_1000,CAREER_PCT,CIV_CAS_PER_1000,FF_INJ_PER_1000,DATA_QUALITY,PEER_GROUP,RESP_NP,CONT_NP,PL_NP,FF1000_NP,RESP_PP,CONT_PP,PL_PP,FF1000_PP
CA-39105,CA,39105,WATERLOOMORADA RURAL FPD,Combo,451,336,43,0,24.0112,29.4118,9.843,662750.0,0,0.0,,,,0.0,0.0,100,XS,22.1746,34.6791,72.9409,20.1551,22.9107,36.0386,74.4511,19.9532
CA-53020,CA,53020,WEAVERVILLE FD,Volunteer,33,28,13,0,12.9355,33.3333,92.5373,310000.0,26,787.8788,2,60.6061,0.0,35.7143,0.0,100,XS,73.2147,39.1038,18.539,82.2945,74.6167,40.5231,19.7615,81.6703
CA-47080,CA,47080,WEED VFD,Combo,52,28,13,0,11.3061,57.1429,27.4074,37000.0,0,0.0,,,,0.0,0.0,100,XS,81.6963,67.4505,53.4297,20.1551,82.8069,68.2248,55.3294,19.9532
CA-19210,CA,19210,WEST COVINA FD,Combo,227,123,34,0,11.574,26.3158,30.2422,2921400.0,0,0.0,,,,0.0,0.0,100,XS,80.3281,32.937,50.8102,20.1551,81.5159,34.2558,52.7119,19.9532
CA-50100,CA,50100,WEST STANISLAUS FPD,Combo,162,124,16,0,17.7582,60.0,6.1176,26000.0,0,0.0,,,,0.0,0.0,100,XS,47.4694,70.004,78.9765,20.1551,48.8703,70.5673,80.0785,19.9532
CA-58025,CA,58025,WHEATLAND FD,Combo,106,61,8,0,15.4952,50.0,100.0,152000.0,0,0.0,,,,0.0,0.0,100,XS,59.188,57.9685,8.061,20.1551,60.7435,59.0658,8.6229,19.9532
CA-33120,CA,33120,WILDOMAR FIRE DEPARTMENT,Combo,115,68,16,0,14.0364,33.3333,14.2987,392700.0,0,0.0,,,,14.7059,0.0,100,XS,67.297,39.1038,66.7837,20.1551,68.755,40.5231,68.62,19.9532
CA-6045,CA,6045,WILLIAMS FPD,Combo,112,63,18,0,17.5648,57.1429,,2324000.0,0,0.0,,,,15.873,0.0,100,XS,48.376,67.4505,,20.1551,49.7925,68.2248,,19.9532
CA-11050,CA,11050,WILLOWS FD,Combo,53,35,18,0,9.0222,25.0,49.9413,723150.0,0,0.0,,,,0.0,28.5714,100,XS,91.8632,31.132,37.8207,20.1551,92.2017,32.3936,39.7557,19.9532
CA-34125,CA,34125,WILTON FPD,Combo,107,61,14,0,16.9894,55.5556,,24600.0,0,0.0,,,,0.0,0.0,100,XS,51.1624,66.1489,,20.1551,52.6052,67.0191,,19.9532
CA-39130,CA,39130,WOODBRIDGE RURAL FPD,Combo,187,132,25,0,15.8967,44.4444,47.2878,540500.0,0,0.0,,,,0.0,0.0,100,XS,57.0245,49.894,39.0764,20.1551,58.5591,51.1436,41.0499,19.9532
CA-54065,CA,54065,WOODLAKE FPD,Combo,77,33,10,0,16.5132,50.0,7.1429,25000.0,0,0.0,,,,0.0,0.0,100,XS,53.6986,57.9685,77.1672,20.1551,55.1873,59.0658,78.3336,19.9532
CA-41105,CA,41105,WOODSIDE FPD,Combo,115,40,19,0,11.5189,80.0,,200000.0,0,0.0,,,,0.0,0.0,100,XS,80.6174,85.0136,,20.1551,81.7925,84.5875,,19.9532
CA-47085,CA,47085,YREKA VFD,Combo,94,52,18,0,11.9455,87.5,,0.0,0,0.0,,,,0.0,0.0,100,XS,78.3982,87.3187,,20.1551,79.6657,86.8436,,19.9532
CA-36194,CA,36194,YUCAIPA FD,Combo,192,76,30,0,13.2368,75.0,6.2978,599200.0,0,0.0,,,,13.1579,0.0,100,XS,71.4905,82.3309,78.6119,20.1551,72.8761,81.9894,79.7295,19.9532
CO-12105,CO,12105,AKRON VFD,Volunteer,26,16,4,0,16.08,50.0,,0.0,25,961.5385,1,38.4615,0.0,0.0,0.0,100,XS,55.9483,57.9685,,86.4725,57.4899,59.0658,,85.997
CO-305,CO,305,ALAMOSA FD,Volunteer,174,107,28,0,23.4529,35.7143,,356850.0,30,172.4138,2,11.4943,0.0,28.0374,0.0,100,XS,24.0934,42.674,,51.8536,24.8991,44.168,,50.9753
CO-12303,CO,12303,AULTPIERCE FD,Volunteer,68,37,15,0,22.1875,42.8571,,500.0,29,426.4706,2,29.4118,0.0,0.0,0.0,100,XS,28.4872,48.5527,,68.3533,29.4409,49.9102,,67.3178
CO-110,CO,110,BENNETTWATKINS FIRE RESCUE,Volunteer,126,65,18,0,17.264,22.2222,52.2836,1519100.0,56,444.4444,4,31.746,7.1429,0.0,0.0,100,XS,49.8498,28.8766,35.9843,69.2569,51.2968,30.0753,37.8653,68.2423
CO-6905,CO,6905,BERTHOUD FPD,Volunteer,143,60,24,0,19.6809,80.0,,15000.0,55,384.6154,2,13.986,30.9091,0.0,0.0,100,XS,38.5567,85.0136,,65.9962,39.7781,84.5875,,64.8881
CO-3940,CO,3940,BIG SANDY FPDSIMLA FD,Volunteer,32,24,14,0,40.4483,33.3333,,3.0,18,562.5,1,31.25,0.0,0.0,0.0,100,XS,1.1513,39.1038,,74.8421,1.1931,40.5231,,73.9867
CO-115,CO,115,BRIGHTON FIRE RESCUE DISTRICT,Volunteer,414,142,58,0,12.868,68.1818,5.6309,465425.0,91,219.8068,3,7.2464,39.5604,14.0845,0.0,100,XS,73.5373,78.6481,79.8272,55.2967,74.928,78.6242,80.8783,54.2477
CO-8705,CO,8705,BRUSH FD,Volunteer,63,31,15,0,26.2295,45.4545,,0.0,30,476.1905,1,15.873,0.0,0.0,0.0,100,XS,16.04,50.6193,,70.9281,16.5764,51.8311,,69.9617
CO-515,CO,515,BYERS VFD,Volunteer,89,46,17,0,19.9205,14.2857,,116500.0,40,449.4382,1,11.236,0.0,0.0,0.0,100,XS,37.3693,24.6506,,69.521,38.5706,25.7014,,68.5157
CO-1321,CO,1321,Boulder Rural Fire Rescue,Career,65,28,15,0,16.5846,50.0,1.0,15000.0,28,430.7692,2,30.7692,64.2857,0.0,0.0,100,XS,53.3092,57.9685,92.5736,68.503,54.7954,59.0658,92.5694,67.4728
CO-4109,CO,4109,CALHAN FPD,Volunteer,51,41,28,0,36.6531,27.2727,,270000.0,24,470.5882,1,19.6078,0.0,0.0,0.0,100,XS,2.7864,33.1986,,70.6668,2.8876,34.5287,,69.6911
